Team,Year,Team ID,Split,G,Att,Yards,Avg.,TD,Att/G,Yards/G
Maryland,2022,392,All Games,13,459,1739,3.79,16,35.31,133.77
Massachusetts,2024,400,All Games,12,454,2375,5.23,32,37.83,197.92
Massachusetts,2023,400,All Games,12,468,2650,5.66,30,39.00,220.83
Massachusetts,2022,400,All Games,12,465,2332,5.02,29,38.75,194.33
Memphis,2024,404,All Games,13,367,1453,3.96,21,28.23,111.77
Memphis,2023,404,All Games,13,446,2018,4.52,21,34.31,155.23
Memphis,2022,404,All Games,13,449,1587,3.53,17,34.54,122.08
Miami (FL),2024,415,All Games,13,391,1466,3.75,16,30.08,112.77
Miami (FL),2023,415,All Games,13,412,1373,3.33,18,31.69,105.62
Miami (FL),2022,415,All Games,12,426,1705,4.00,18,35.50,142.08
Miami (OH),2024,414,All Games,14,491,1920,3.91,20,35.07,137.14
Miami (OH),2023,414,All Games,14,509,1851,3.64,12,36.36,132.21
Miami (OH),2022,414,All Games,13,452,1767,3.91,17,34.77,135.92
Michigan,2024,418,All Games,13,385,1179,3.06,10,29.62,90.69
Michigan,2023,418,All Games,15,450,1350,3.00,9,30.00,90.00
Michigan,2022,418,All Games,14,421,1371,3.26,10,30.07,97.93
Michigan State,2024,416,All Games,12,404,1501,3.72,19,33.67,125.08
Michigan State,2023,416,All Games,12,440,1812,4.12,14,36.67,151.00
Michigan State,2022,416,All Games,12,500,2143,4.29,14,41.67,178.58
Middle Tennessee State,2024,419,All Games,12,465,2364,5.08,26,38.75,197.00
Middle Tennessee State,2023,419,All Games,12,436,1753,4.02,20,36.33,146.08
Middle Tennessee State,2022,419,All Games,13,452,1518,3.36,14,34.77,116.77
Minnesota,2024,428,All Games,13,407,1425,3.50,14,31.31,109.62
Minnesota,2023,428,All Games,13,414,1938,4.68,19,31.85,149.08
Minnesota,2022,428,All Games,13,376,1417,3.77,10,28.92,109.00
Mississippi State,2024,430,All Games,12,523,2603,4.98,24,43.58,216.92
Mississippi State,2023,430,All Games,12,449,1751,3.90,14,37.42,145.92
Mississippi State,2022,430,All Games,13,446,1745,3.91,20,34.31,134.23
Missouri,2024,434,All Games,13,435,1771,4.07,15,33.46,136.23
Missouri,2023,434,All Games,13,421,1597,3.79,8,32.38,122.85
Missouri,2022,434,All Games,13,447,1632,3.65,19,34.38,125.54
Navy,2024,726,All Games,13,487,2029,4.17,17,37.46,156.08
Navy,2023,726,All Games,12,423,1546,3.65,12,35.25,128.83
Navy,2022,726,All Games,12,355,1067,3.01,7,29.58,88.92
Nebraska,2024,463,All Games,13,390,1316,3.37,8,30.00,101.23
Nebraska,2023,463,All Games,12,376,1115,2.97,9,31.33,92.92
Nebraska,2022,463,All Games,12,499,2269,4.55,22,41.58,189.08
Nevada,2024,466,All Games,13,496,2507,5.05,31,38.15,192.85
Nevada,2023,466,All Games,12,423,2253,5.33,23,35.25,187.75
Nevada,2022,466,All Games,12,458,1975,4.31,23,38.17,164.58
Nevada-Las Vegas,2024,465,All Games,14,457,1610,3.52,17,32.64,115.00
Nevada-Las Vegas,2023,465,All Games,14,529,2265,4.28,23,37.79,161.79
Nevada-Las Vegas,2022,465,All Games,12,481,1895,3.94,19,40.08,157.92
New Mexico,2024,473,All Games,12,471,2555,5.42,27,39.25,212.92
New Mexico,2023,473,All Games,12,407,2066,5.08,25,33.92,172.17
New Mexico,2022,473,All Games,12,461,1893,4.11,19,38.42,157.75
New Mexico State,2024,472,All Games,12,459,2343,5.10,29,38.25,195.25
